Nome completo do colaborador;Departamento/time;E-mail;ID do certificado;Tipo do certificado;Nome do certificado;Instituição emissora;Área de conhecimento;Data de conclusão;Data de vencimento (se aplicável);Carga horária (se aplicável);Modalidade do curso;Obrigatoriedade de certificado;Categoria do conhecimento obtido;Upload do certificado (arquivo);Observações (opcional)
Bruna Cardoso;Recursos Humanos (RH);fernando65@hotmail.com;dd81bc32-ad43-46ad-9c37-56583017c8bc;Treinamento Interno;O conforto de concretizar seus projetos simplesmente;Gonçalves;Atendimento ao Cliente;2024-12-09;2026-10-25;8;Online ao vivo;Sim;Normativo / Regulatórios;iste.pdf;
Luiza Fogaça;Tecnologia da Informação (TI);cavalcantipedro@ig.com.br;899af400-7684-4246-80c8-d605e6199b7d;Certificação externa;O poder de atingir seus objetivos com toda a tranquilidade;Silva Moura - ME;Segurança da Informação;2023-08-22;2024-12-11;;Online gravado / EAD;Sim;Normativo / Regulatórios;ex.pdf;
Miguel Carvalho;Financeiro;pedropereira@ig.com.br;a89b94e9-4a71-44b0-82fe-ba49a3acd3d2;Certificação externa;O direito de ganhar com toda a tranquilidade;das Neves Ltda.;Comercial / Relacionamentos;2023-04-12;2024-10-21;8;Presencial;Sim;Cultura e Valores da Empresa;nihil.pdf;
Ana Laura Araújo;Vendas;livia55@da.com;eafd2dd1-d599-45d6-aa67-a68a7a798424;Treinamento Interno;O poder de evoluir mais rapidamente;Aragão;DADO_INVALIDO;2023-08-02;2024-09-11;80;Presencial;Sim;Normativo / Regulatórios;dolor.pdf;
Kamilly Cunha;Tecnologia da Informação (TI);ibarbosa@gmail.com;051b4b4a-1233-4644-b252-558fccc164de;Treinamento Interno;A vantagem de inovar com confiança;da Luz;Infraestrutura de TI;2024-08-12;2025-06-02;12;Presencial;Sim;Gestão / Liderança;quod.pdf;
Ana Carolina Araújo;Tecnologia da Informação (TI);caiobarbosa@rocha.com;e471607f-c28e-4190-9cc7-56dc22b042c2;Treinamento Interno;O conforto de mudar de maneira eficaz;das Neves;Ciência de Dados / Analytics;2023-05-10;2024-06-12;12;Online gravado / EAD;Não;Normativo / Regulatórios;ea.pdf;
Srta. Kamilly Teixeira;Jurídico;alvescaio@hotmail.com;3b5c9540-3c95-40b5-aecd-f8c2c6904d87;Certificação externa;A simplicidade de mudar com toda a tranquilidade;Gomes;Marketing / Brandig;2023-07-29;;80;Online ao vivo;Sim;Técnica / Operacional;voluptatum.pdf;
Ana Julia Porto;Vendas;yasminduarte@bol.com.br;e6fd770f-25ca-43fe-81c8-09a344e8a0bd;Certificação externa;A liberdade de mudar com toda a tranquilidade;Costa - ME;Saúde / Bem-estar no trabalho;2024-03-26;2027-03-07;80;Online gravado / EAD;Não;Normativo / Regulatórios;laborum.pdf;
Samuel Aragão;Compras;catarinada-conceicao@gmail.com;3e95a4a6-936a-491c-b67e-bbc9fcb28b13;Certificação externa;A vantagem de atingir seus objetivos com toda a tranquilidade;Caldeira Caldeira e Filhos;Saúde / Bem-estar no trabalho;2024-05-29;2026-12-25;4;Presencial;Não;Normativo / Regulatórios;expedita.pdf;
Alícia Nascimento;Compras;ucardoso@fogaca.br;2c0dc3c9-7027-4c08-9f80-604a91327dfa;Certificação externa;O conforto de conseguir com toda a tranquilidade;Ferreira;Finanças / Contabilidade;2024-03-15;2024-09-25;;Online ao vivo;Sim;Técnica / Operacional;nobis.pdf;
Lucca Barbosa;Atendimento ao cliente / Suporte;fogacamaria@peixoto.com;323ebade-491b-4407-9f90-5e66b2ac99e5;Certificação externa;O direito de realizar seus sonhos mais rapidamente;da Mata S/A;Automação de Processos / Arquitetura de Soluções;2025-02-23;2027-05-14;4;Online gravado / EAD;Não;Cultura e Valores da Empresa;incidunt.pdf;
Rafaela Lopes;Recursos Humanos (RH);nascimentojoao-miguel@fogaca.br;6409ea64-ebdf-4e4b-a25f-ebb86be9d063;Treinamento Interno;A vantagem de mudar de maneira eficaz;Cardoso;Automação de Processos / Arquitetura de Soluções;2025-02-03;2026-08-23;;Online gravado / EAD;Não;Cultura e Valores da Empresa;doloremque.pdf;
Dr. Davi Lucas Silva;Produtos;levida-mata@barros.com;2a6a34e1-c293-4c1e-adc7-687e43955cec;Certificação externa;A segurança de concretizar seus projetos com confiança;Dias;Finanças / Contabilidade;2023-12-20;2024-06-23;4;Presencial;Não;Gestão / Liderança;ad.pdf;
Larissa Dias;Recursos Humanos (RH);tduarte@da.br;e9dc0a46-28cc-42d4-9919-a7b2a9a98f28;Certificação externa;O prazer de avançar direto da fonte;Correia;Operações Administrativas / Processos;2024-03-19;2025-04-30;8;Online ao vivo;Não;Técnica / Operacional;iure.pdf;Autem reiciendis voluptatibus temporibus ducimus esse hic.
Leonardo Rezende;Atendimento ao cliente / Suporte;yda-rosa@da.org;bfd9185a-3538-4313-a310-358cb6d14e13;Certificação externa;A possibilidade de atingir seus objetivos com toda a tranquilidade;Correia;LGPD / Compliance;2024-03-26;;80;Online ao vivo;Não;Técnica / Operacional;sapiente.pdf;
Isabella Barros;Produtos;ida-cunha@cardoso.com;f316cec6-0963-4679-b931-3befa044afea;Certificação externa;O direito de avançar com força total;da Conceição;LGPD / Compliance;2023-04-10;2023-11-03;80;Presencial;Não;Normativo / Regulatórios;suscipit.pdf;
Gabriel da Mota;Compliance / Governança;alexandre64@yahoo.com.br;106e752f-e758-4b71-828d-1d3f4507a004;Treinamento Interno;O conforto de conseguir naturalmente;Barbosa;Liderança;2023-08-04;;40;Presencial;Sim;Gestão / Liderança;porro.pdf;
Miguel Lopes;Compliance / Governança;gabriellyduarte@melo.com;e0980f54-8d43-4062-a32f-e27e1d405276;Treinamento Interno;O prazer de conseguir direto da fonte;Pereira;Comercial / Relacionamentos;2024-02-17;;8;Presencial;Sim;Técnica / Operacional;odit.pdf;Iure saepe ad nobis quam aperiam.
Miguel Alves;Atendimento ao cliente / Suporte;isouza@ig.com.br;d01f91ad-d896-43f0-820f-95d304da9698;Certificação externa;O prazer de conseguir antes de tudo;Silva;Marketing / Brandig;2023-08-14;2024-10-08;20;Online ao vivo;Não;Gestão / Liderança;aspernatur.pdf;
Alice da Luz;Marketing;teixeiradiego@moraes.net;4f74ee7f-e3bd-4be4-87d5-4f1fc884f77b;Treinamento Interno;A segurança de concretizar seus projetos sem preocupação;Silva;Investimentos;2024-01-01;2025-07-11;8;Online ao vivo;Sim;Técnica / Operacional;sequi.pdf;Id assumenda minus.
Alícia Viana;Jurídico;viniciusribeiro@barros.com;cf57cdf6-9626-4a0b-8a5f-c7a1e07cb667;Certificação externa;A liberdade de conseguir com confiança;Araújo Barbosa - EI;Gestão de Pessoas;2024-06-09;2025-06-26;4;Presencial;Não;Normativo / Regulatórios;harum.pdf;
Pedro Miguel Peixoto;Compras;cavalcanticamila@rodrigues.com;2abe6c6f-617d-4342-9bfd-4a511f805922;Certificação externa;A vantagem de mudar mais facilmente;Novaes;Atendimento ao Cliente;2023-12-01;2025-11-05;8;Presencial;Não;Normativo / Regulatórios;earum.pdf;
Luiz Henrique Barros;Atendimento ao cliente / Suporte;rochajoana@ig.com.br;02c46e9e-b527-4e0c-b549-4a6a4ef8eca1;Treinamento Interno;A possibilidade de evoluir sem preocupação;Carvalho;Projetos / Scrum / Agile;2024-07-18;2025-08-18;;Online ao vivo;Sim;Cultura e Valores da Empresa;beatae.pdf;
Dr. Felipe Ferreira;Design UX/UI;meloandre@uol.com.br;a15f4c13-d51f-49e6-8029-2083322b14c4;Treinamento Interno;A certeza de conseguir naturalmente;DADO_INVALIDO;Compras / Suprimentos;2023-08-01;2026-02-19;8;Online ao vivo;Não;Normativo / Regulatórios;natus.pdf;Pariatur asperiores quas saepe facere excepturi.
Gustavo Santos;Recursos Humanos (RH);dsilveira@carvalho.com;dbcff2f6-13b4-4d08-b542-0c3bd761bf3c;Certificação externa;A possibilidade de realizar seus sonhos mais facilmente;Monteiro Gomes - ME;Liderança;2025-01-05;;;Online gravado / EAD;Sim;Técnica / Operacional;nulla.pdf;
Emanuel Ferreira;Produtos;daniela05@uol.com.br;28f36300-283d-441f-aa9c-baa72451266a;Certificação externa;A vantagem de avançar naturalmente;Fernandes;Liderança;2024-01-03;2025-01-10;40;Presencial;Não;Normativo / Regulatórios;eaque.pdf;
Amanda Ramos;Administrativo;enrico57@santos.br;f67a4c7a-7950-4fde-86d2-b1bf801ac082;Treinamento Interno;A segurança de concretizar seus projetos com toda a tranquilidade;Cardoso S/A;Compras / Suprimentos;2024-01-08;;8;Híbrido;Sim;Técnica / Operacional;distinctio.pdf;
Mariane Azevedo;Recursos Humanos (RH);vdas-neves@ig.com.br;1b17b372-a3e3-4375-bcfa-b794916bf34e;Certificação externa;A certeza de concretizar seus projetos de maneira eficaz;Gonçalves Duarte S.A.;Segurança da Informação;2023-11-03;2025-02-28;12;Online ao vivo;Sim;Gestão / Liderança;iste.pdf;
Alexandre Lopes;Vendas;falves@da.br;3921e911-bec7-47d6-b124-6dd1563466d7;Treinamento Interno;O poder de conseguir simplesmente;Jesus;Segurança da Informação;2024-11-12;2025-07-23;;Híbrido;Não;Cultura e Valores da Empresa;magni.pdf;
Heloísa Dias;Design UX/UI;elisacarvalho@rodrigues.net;93fc2484-4e66-40eb-9870-6caff327cf65;Certificação externa;A liberdade de atingir seus objetivos antes de tudo;Barbosa e Filhos;Ciência de Dados / Analytics;2023-08-15;2026-04-07;40;Presencial;Não;Cultura e Valores da Empresa;pariatur.pdf;Quo doloribus voluptate molestiae suscipit.
Srta. Maria Fernanda Santos;Tecnologia da Informação (TI);helena34@ig.com.br;29af9076-5a64-4283-b9c0-7301dbcc51b6;Certificação externa;A vantagem de realizar seus sonhos naturalmente;Costa;Marketing / Brandig;2024-07-26;2025-10-05;4;Online ao vivo;Não;Técnica / Operacional;pariatur.pdf;
Dra. Eduarda Aragão;Contabilidade;lsantos@gmail.com;575b6522-1f69-4597-ac09-80a34cac3c19;Treinamento Interno;A vantagem de ganhar mais facilmente;Jesus S/A;Atendimento ao Cliente;2024-03-22;;8;Online ao vivo;Não;Cultura e Valores da Empresa;temporibus.pdf;Nam voluptates tenetur.
Vitória Aragão;Financeiro;mendesmarcela@uol.com.br;6a4d8e23-496c-499d-b951-3ab9bcf0f5bf;Treinamento Interno;O poder de realizar seus sonhos sem preocupação;Moura;Desenvolvimento de Software;2023-11-22;2025-08-22;8;Híbrido;Sim;Cultura e Valores da Empresa;tenetur.pdf;
Ana Julia Freitas;Compras;fernandesdiego@jesus.org;165e4168-0d68-478c-a8d5-9df0d605d44d;Certificação externa;O prazer de ganhar em estado puro;Martins;Investimentos;2024-06-16;2026-07-19;8;Presencial;Não;Gestão / Liderança;dolores.pdf;
Alexandre Araújo;Vendas;fogacaesther@jesus.com;f8a608e4-c77a-4030-95b1-40ffe7d2ed0a;Certificação externa;A certeza de mudar com toda a tranquilidade;da Conceição S/A;Desenvolvimento de Software;2025-02-26;2028-01-05;20;Online gravado / EAD;Não;Técnica / Operacional;voluptatum.pdf;
Dr. Augusto Cunha;Vendas;maria-clara53@barbosa.br;204798c9-97f3-43da-b009-bd2fafe89d8f;Treinamento Interno;A simplicidade de ganhar direto da fonte;Pereira;Operações Administrativas / Processos;2024-04-17;;20;Online gravado / EAD;Sim;Gestão / Liderança;enim.pdf;
Juliana Cavalcanti;Financeiro;sarahgomes@ramos.net;92fb4e4c-2c98-4d04-ba43-ce7a06075993;Treinamento Interno;A simplicidade de concretizar seus projetos naturalmente;da Conceição;Operações Administrativas / Processos;2023-12-23;2026-01-25;;Online ao vivo;Sim;Normativo / Regulatórios;saepe.pdf;
Emilly Lopes;Vendas;vieiradavi-luiz@viana.br;bc29bd5c-9792-4c26-8464-4da7a2e24325;Certificação externa;O direito de conseguir sem preocupação;Mendes Oliveira e Filhos;Saúde / Bem-estar no trabalho;2024-08-05;;80;Online gravado / EAD;Sim;Normativo / Regulatórios;quod.pdf;
Luigi Nunes;Vendas;nicolascardoso@costa.br;d4b8e2c1-caf2-4aa4-828c-37672c5c196b;Treinamento Interno;A vantagem de realizar seus sonhos de maneira eficaz;Vieira S.A.;Design / UX e UI;2023-05-10;2023-12-14;40;Online gravado / EAD;Sim;Cultura e Valores da Empresa;voluptas.pdf;
João Pedro Rezende;Produtos;araujocaua@yahoo.com.br;de2a0920-77be-4a49-8ea6-d7bdd0b8ebbe;Treinamento Interno;A certeza de realizar seus sonhos naturalmente;da Cruz - EI;Automação de Processos / Arquitetura de Soluções;2025-03-25;2027-11-14;20;Online gravado / EAD;Sim;Gestão / Liderança;distinctio.pdf;
Sarah Jesus;Vendas;teixeiraisabelly@gmail.com;508364ff-5429-474b-9294-ad62e7e61060;Certificação externa;A simplicidade de evoluir antes de tudo;Rezende Moura Ltda.;Gestão de Pessoas;2023-12-29;2024-06-28;12;Online ao vivo;Sim;Cultura e Valores da Empresa;assumenda.pdf;
Emilly Viana;Design UX/UI;joanagoncalves@gmail.com;6dfa1e65-4ce2-4844-95ab-b24911be4467;Certificação externa;O poder de avançar com força total;Moraes;Desenvolvimento de Software;2024-10-06;;4;Online gravado / EAD;Sim;Cultura e Valores da Empresa;provident.pdf;
Sr. Davi Lucca Cunha;Tecnologia da Informação (TI);pmoura@ig.com.br;381a5277-6cea-48fd-b736-56ac85ba251f;Certificação externa;A liberdade de realizar seus sonhos sem preocupação;Novaes;Projetos / Scrum / Agile;2023-10-27;2025-04-30;40;Presencial;Sim;Cultura e Valores da Empresa;fugit.pdf;
Sophia Correia;Atendimento ao cliente / Suporte;paulo42@cunha.com;DADO_INVALIDO;Certificação externa;A vantagem de conseguir mais facilmente;Moreira S/A;Desenvolvimento de Software;2024-04-10;;4;Online gravado / EAD;Não;Gestão / Liderança;ratione.pdf;
Vitor Hugo Melo;Administrativo;costakevin@da.org;c238cfaa-825d-423c-9332-f76751286c75;Certificação externa;A segurança de conseguir com confiança;Caldeira;QA / Testes;2023-07-02;2024-12-11;80;Online ao vivo;Sim;Gestão / Liderança;ab.pdf;
Augusto Fernandes;Financeiro;pereiraisaac@nogueira.br;51d9b98f-bca5-43a4-be7e-87b90894f1c7;Certificação externa;A arte de ganhar em estado puro;Melo e Filhos;QA / Testes;2024-07-24;2027-05-16;80;Online ao vivo;Sim;Técnica / Operacional;perspiciatis.pdf;
Lucas Barbosa;Tecnologia da Informação (TI);emanuella19@gmail.com;63f2566a-512e-48fb-9a54-13f7a6e2a30d;Treinamento Interno;A simplicidade de realizar seus sonhos simplesmente;Correia - ME;LGPD / Compliance;2024-11-02;2026-01-19;;Online gravado / EAD;Sim;Técnica / Operacional;nulla.pdf;Aspernatur quaerat labore adipisci minus aspernatur minima.
Marina Novaes;Atendimento ao cliente / Suporte;bbarros@correia.com;91c7147b-b6f3-4af7-b352-9c6138d46e7f;Treinamento Interno;O direito de conseguir em estado puro;Pires Porto e Filhos;Infraestrutura de TI;2024-09-14;2027-01-15;8;Online gravado / EAD;Sim;Gestão / Liderança;ducimus.pdf;
Clara Cardoso;Design UX/UI;calmeida@cardoso.br;ed6cab48-6df3-4bfe-bac3-6974b038f45a;Certificação externa;O conforto de avançar com confiança;Porto Rocha S/A;Segurança da Informação;2024-04-17;;;Híbrido;Sim;Normativo / Regulatórios;cupiditate.pdf;
Maria Eduarda Mendes;Jurídico;da-conceicaoclara@carvalho.br;ece4a5ad-8fd6-43ba-9ec6-c08accb9431a;Treinamento Interno;A liberdade de atingir seus objetivos com toda a tranquilidade;da Luz;Desenvolvimento de Software;2024-03-12;;80;Online gravado / EAD;Não;Cultura e Valores da Empresa;nemo.pdf;
Dr. Isaac Lima;Compliance / Governança;cardosobruno@melo.net;0087d06f-78e5-4706-b8f3-3195ea9819bc;Certificação externa;A liberdade de atingir seus objetivos direto da fonte;Cunha Jesus S/A;Operações Administrativas / Processos;2023-11-24;2025-02-25;4;Online gravado / EAD;Não;Normativo / Regulatórios;animi.pdf;
Raquel Silveira;Marketing;alexandre30@rocha.br;35b8861d-3d72-47c4-866d-ba32971bd6c3;Certificação externa;A arte de atingir seus objetivos em estado puro;Moreira;Saúde / Bem-estar no trabalho;2025-02-26;2026-09-23;8;Presencial;Não;Gestão / Liderança;totam.pdf;
João Pedro Fogaça;Jurídico;igor16@bol.com.br;477d1d76-55d6-42a5-afb3-bf6ffa8129bd;Treinamento Interno;A simplicidade de inovar de maneira eficaz;Mendes;Operações Administrativas / Processos;2024-03-06;2026-11-24;40;Online gravado / EAD;Sim;Cultura e Valores da Empresa;pariatur.pdf;
Isabel Cardoso;Vendas;santosarthur@caldeira.com;7434283b-c7db-4556-9d4e-a352415159a7;Treinamento Interno;O conforto de atingir seus objetivos com confiança;Campos Costa - EI;Compras / Suprimentos;2023-07-27;;8;Híbrido;Sim;Cultura e Valores da Empresa;unde.pdf;Repellat eaque animi nemo numquam.
Yago da Rocha;Compras;vitoria01@da.com;3fd90bc2-9c0f-4684-8856-0e936886e68e;Treinamento Interno;O prazer de evoluir com confiança;Ribeiro;Finanças / Contabilidade;2024-01-25;2025-11-06;;Presencial;Não;Gestão / Liderança;nobis.pdf;
Nicole Lima;Jurídico;levi32@moreira.com;db00ed26-3a9b-48cd-8e43-a96402c5290f;Certificação externa;A arte de realizar seus sonhos mais facilmente;Aragão;Segurança da Informação;2024-06-19;;12;Presencial;Não;Gestão / Liderança;est.pdf;
Paulo Cardoso;Jurídico;maria-clara04@ig.com.br;604b499a-dfa2-4c27-9047-a852f1849263;Treinamento Interno;A arte de realizar seus sonhos com força total;da Mata;Investimentos;2023-06-28;;8;Híbrido;Não;Normativo / Regulatórios;maxime.pdf;
André Aragão;Contabilidade;zlima@oliveira.org;f3ee8265-5cf3-4386-97a4-5986d6e10755;Certificação externa;O direito de avançar simplesmente;Peixoto;Infraestrutura de TI;2023-09-23;;12;Online gravado / EAD;Sim;Técnica / Operacional;cumque.pdf;
Daniel Costa;Compliance / Governança;santosleonardo@uol.com.br;bc81b4fa-35d9-48e6-aef5-2a047ae6f901;Treinamento Interno;O conforto de conseguir de maneira eficaz;Freitas - ME;Segurança da Informação;2023-07-04;;;Presencial;Sim;Normativo / Regulatórios;praesentium.pdf;
Fernando Fernandes;Compras;eloah19@fernandes.com;cd5f3573-e609-4f7c-95ae-9abf686eb43f;Treinamento Interno;A segurança de realizar seus sonhos direto da fonte;Souza Nogueira e Filhos;Desenvolvimento de Software;2025-01-22;2025-09-19;12;Online gravado / EAD;Sim;Técnica / Operacional;autem.pdf;
João Vitor Souza;Design UX/UI;odas-neves@uol.com.br;da6cc56e-fda5-4331-a1f8-da2245ecc966;Certificação externa;A possibilidade de concretizar seus projetos direto da fonte;das Neves - EI;Design / UX e UI;2023-08-27;2025-08-18;40;Online ao vivo;Não;Cultura e Valores da Empresa;nesciunt.pdf;
João Guilherme da Costa;Administrativo;ocorreia@hotmail.com;2f38af88-ca3e-4625-a23b-3cb79e3250b0;Treinamento Interno;A arte de concretizar seus projetos mais facilmente;da Conceição Ltda.;Ciência de Dados / Analytics;2024-07-27;;40;Online ao vivo;Sim;Normativo / Regulatórios;modi.pdf;
Maria Clara Martins;Vendas;sarahpinto@ferreira.org;031efdbd-c27b-4ef2-a86a-775ba9c7f9b5;Treinamento Interno;A segurança de mudar sem preocupação;Nogueira Ramos S/A;Operações Administrativas / Processos;2023-07-28;;8;Presencial;Sim;Cultura e Valores da Empresa;quas.pdf;
Ana Carolina Cavalcanti;Atendimento ao cliente / Suporte;mariane93@cardoso.org;10a357b0-f0e4-41c5-846a-164de8ff8ce4;Treinamento Interno;O poder de realizar seus sonhos de maneira eficaz;Ribeiro da Paz Ltda.;Liderança;2024-01-24;DADO_INVALIDO;4;Online ao vivo;Sim;Normativo / Regulatórios;iste.pdf;
Sr. Breno Castro;Recursos Humanos (RH);fogacacaio@hotmail.com;5e083f3d-5c6a-42d9-8c50-e741a43ce630;Certificação externa;O conforto de conseguir com toda a tranquilidade;Viana Freitas - ME;Desenvolvimento de Software;2024-07-09;;80;Híbrido;Sim;Gestão / Liderança;saepe.pdf;
Luiz Miguel Costela;Vendas;danielda-rocha@hotmail.com;83c33391-285a-40f2-b480-86c044185a29;Treinamento Interno;A liberdade de concretizar seus projetos antes de tudo;Teixeira Peixoto - EI;Comercial / Relacionamentos;2023-11-29;;40;Híbrido;Sim;Técnica / Operacional;eveniet.pdf;
Paulo da Conceição;Design UX/UI;da-motaluana@ig.com.br;0f75a88b-0098-4057-92a1-b8705aad1148;Treinamento Interno;O direito de ganhar mais facilmente;Peixoto S/A;Design / UX e UI;2024-04-25;2026-06-16;8;Online gravado / EAD;Não;Normativo / Regulatórios;vitae.pdf;Dolore corrupti non sequi consequuntur unde.
Emanuelly das Neves;Financeiro;yagogoncalves@uol.com.br;ce37326e-fc81-42be-bb90-4dce447d1053;Treinamento Interno;A segurança de mudar em estado puro;Ribeiro Ltda.;Gestão de Pessoas;2025-03-02;2027-03-21;12;Online gravado / EAD;Não;Técnica / Operacional;deleniti.pdf;Quia eaque quos natus.
Breno Mendes;Vendas;yuri42@teixeira.br;f60f37ca-dcc1-4843-9402-e64073fd80b1;Treinamento Interno;O poder de ganhar com toda a tranquilidade;Moura;Finanças / Contabilidade;2025-01-12;2026-08-15;80;Online ao vivo;Sim;Cultura e Valores da Empresa;debitis.pdf;Reprehenderit aperiam in adipisci veniam illum officiis eos.
Catarina Campos;Atendimento ao cliente / Suporte;msantos@gmail.com;cb23718d-6569-4d61-8bc7-d42cda7b3f5f;Treinamento Interno;A vantagem de realizar seus sonhos com toda a tranquilidade;Pereira;Design / UX e UI;2024-04-26;2026-01-15;8;Online ao vivo;Sim;Técnica / Operacional;sed.pdf;
Lavínia Costela;Atendimento ao cliente / Suporte;samuel44@hotmail.com;9e06d2f4-2924-4da2-917a-c39a74052dbb;Treinamento Interno;O prazer de ganhar mais facilmente;Pinto Melo - EI;Desenvolvimento de Software;2023-11-01;;4;Híbrido;Não;Técnica / Operacional;maiores.pdf;
Otávio Costela;Atendimento ao cliente / Suporte;efreitas@bol.com.br;f5e5cd2b-a39d-42bf-948b-f0cf7e75d15f;Treinamento Interno;A simplicidade de atingir seus objetivos em estado puro;das Neves;Finanças / Contabilidade;2023-10-27;;;Online gravado / EAD;Não;Gestão / Liderança;ipsum.pdf;
Mariane Rodrigues;Marketing;mendesana-julia@pires.com;f4006814-e9d2-4dee-9d52-314f83eeb6ef;Treinamento Interno;A arte de avançar sem preocupação;Gomes;Automação de Processos / Arquitetura de Soluções;2023-12-03;2025-01-16;8;Presencial;Sim;Técnica / Operacional;eum.pdf;Laborum eos maiores nobis.
